Neighborhood,Area:,Population:,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage,med rent
"Charleston Ridge, Raleigh, NC",0.012,16,2.4 people,1.3,2.5,9,29.3 years,32.6 years,"$46,923",39.7%,52.0%,43.3%,55.3%,7.1%,54.6%,1.1%,16.4%,18.9%,0.0%,1.1%,62.2%,$672
"Chase Court, Raleigh, NC",0.011,24,2.6 people,1.8,2.1,12,53.1 years,44.2 years,"$147,857",38.2%,56.0%,37.5%,50.1%,5.5%,67.8%,0.3%,8.0%,9.3%,0.0%,1.6%,56.8%,"$2,081"
"Chateau Ridge, Raleigh, NC",0.012,27,2.6 people,1.8,2.1,14,53.1 years,44.2 years,"$147,857",38.2%,56.0%,38.3%,50.1%,5.5%,67.8%,0.3%,8.0%,9.3%,0.0%,1.6%,56.8%,"$2,081"
"Chester Place, Raleigh, NC",0.005,29,2.4 people,1.7,1.7,10,24.0 years,33.5 years,"$45,978",38.7%,53.3%,7.9%,60.8%,7.7%,34.3%,0.3%,41.0%,17.5%,0.0%,33.8%,87.7%,$677
"Chestnut Hills, Raleigh, NC",0.239,352,2.3 people,1.4,2.1,175,43.6 years,39.7 years,"$93,413",50.3%,43.6%,35.7%,47.4%,4.3%,55.6%,1.9%,13.6%,12.5%,1.2%,8.3%,72.6%,$895
"Chippenham Square, Raleigh, NC",0.017,47,2.6 people,1.6,2.1,21,44.8 years,48.3 years,"$120,583",52.6%,40.0%,37.6%,62.3%,6.6%,77.1%,0.7%,7.1%,6.0%,0.0%,0.8%,78.7%,$853
"Churchill Woods, Raleigh, NC",0.012,35,2.6 people,1.7,2.1,18,44.3 years,37.0 years,"$94,000",39.7%,52.0%,38.7%,50.0%,7.1%,59.7%,1.1%,12.5%,18.4%,0.0%,1.2%,59.7%,$745
"Clandon Forest, Raleigh, NC",0.033,80,2.2 people,2.0,1.8,42,37.3 years,34.4 years,"$76,516",54.2%,39.7%,33.5%,49.9%,5.2%,44.3%,0.9%,13.0%,20.1%,0.0%,12.8%,76.3%,$740
"Claridge, Raleigh, NC",0.006999999999999999,9,2.4 people,1.2,2.2,3,40.1 years,45.4 years,"$78,250",54.3%,40.8%,22.5%,62.3%,1.7%,52.7%,3.3%,19.8%,6.4%,0.0%,11.4%,81.6%,$846
"Cobblestone, Raleigh, NC",0.083,30,2.3 people,1.1,1.6,13,37.8 years,36.2 years,"$54,200",39.7%,36.8%,25.2%,59.3%,21.5%,51.8%,2.0%,19.9%,9.2%,0.0%,18.5%,81.9%,$795
"Coley, Raleigh, NC",0.237,464,2.4 people,1.2,2.1,234,59.8 years,51.1 years,"$131,622",38.2%,56.0%,41.5%,39.7%,5.5%,57.4%,0.3%,11.4%,12.3%,0.2%,2.5%,59.2%,"$1,754"
"Colinwoods, Raleigh, NC",0.006999999999999999,9,2.4 people,1.2,2.2,3,40.1 years,45.4 years,"$78,250",54.2%,40.8%,22.5%,62.3%,1.7%,52.7%,3.2%,19.8%,6.4%,0.0%,11.4%,81.6%,$846
"College Crest, Raleigh, NC",0.013,97,2.4 people,1.5,1.7,40,34.8 years,41.9 years,"$81,179",38.7%,53.3%,34.0%,42.3%,7.7%,35.2%,0.3%,18.6%,19.6%,0.0%,8.2%,65.8%,$961
"College Park (Idlewood), Raleigh, NC",0.149,910,11.0 people,0.6,1.1,332,25.1 years,26.1 years,"$27,615",29.6%,67.7%,1.9%,51.6%,1.6%,7.1%,1.0%,55.2%,28.9%,0.0%,28.5%,74.1%,$549
"Collingwood, Raleigh, NC",0.003,5,2.4 people,1.6,1.7,2,33.2 years,36.9 years,"$40,338",25.3%,67.5%,5.3%,34.0%,6.7%,31.8%,0.5%,33.4%,18.0%,0.0%,40.6%,76.3%,$827
"Colony Woods, Raleigh, NC",0.059,85,1.6 people,0.8,1.6,43,54.9 years,36.9 years,"$81,406",42.6%,43.0%,27.2%,32.9%,11.6%,31.2%,2.7%,9.2%,19.4%,0.0%,7.0%,57.4%,$751
"Community Dr, Raleigh, NC",0.002,2,3.6 people,1.0,1.6,1,42.2 years,27.7 years,"$29,928",24.2%,67.6%,20.8%,32.1%,7.6%,19.6%,0.5%,24.4%,25.2%,0.0%,18.2%,79.3%,$737
"Cooke St, Raleigh, NC",0.006,40,23.0 people,0.9,1.8,17,33.2 years,44.6 years,"$29,514",29.6%,67.7%,27.8%,39.5%,1.6%,29.7%,1.0%,24.5%,13.6%,0.0%,19.2%,79.6%,$522
"Cooke Street, Raleigh, NC",0.001,7,23.0 people,0.9,1.8,3,33.2 years,44.6 years,"$29,514",29.6%,67.7%,29.7%,39.5%,1.6%,29.7%,1.0%,24.5%,13.6%,0.0%,20.6%,79.6%,$522
"Cottonwood, Raleigh, NC",0.047,48,3.9 people,90.5%,2.1,20,41.5 years,34.1 years,"$62,288",3.5%,26.9%,18.6%,65.8%,2.3,45.8%,16.4%,23.4%,18.4%,53.2%,12.5%,"$119,722","$1,014"
"Country Club Hill, Raleigh, NC",0.406,326,2.4 people,8.9,2.6,155,51.1 years,54.1 years,"$140,064",32.7%,62.0%,39.9%,48.8%,3.2%,76.1%,2.2%,9.7%,3.9%,0.0%,5.6%,62.6%,"$1,486"
"Country Club View, Raleigh, NC",0.033,37,3.0 people,1.2,2.8,17,31.0 years,31.4 years,"$33,114",20.4%,57.5%,10.3%,54.1%,21.1%,16.6%,1.0%,28.1%,29.8%,14.8%,22.9%,37.5%,$769
"Country Club Villas, Raleigh, NC",0.105,297,2.3 people,1.9,2.3,144,43.0 years,46.3 years,"$154,249",35.0%,60.5%,34.9%,48.6%,3.1%,49.2%,1.4%,16.5%,16.2%,0.0%,7.8%,71.8%,$943
"Courtney Place, Raleigh, NC",0.001,2,2.5 people,1.8,2.2,1,37.5 years,32.9 years,"$74,803",34.4%,38.8%,45.1%,63.2%,26.8%,60.8%,0.0%,8.8%,17.3%,0.0%,22.4%,90.6%,$928
"Crabtree Heights, Raleigh, NC",0.034,40,2.3 people,1.6,1.9,21,33.1 years,32.8 years,"$52,589",30.7%,45.0%,14.6%,48.7%,22.7%,31.8%,1.6%,16.8%,30.4%,0.0%,12.3%,81.7%,$834
"Crabtree Trust, Raleigh, NC",0.016,13,2.4 people,7.2,2.6,6,51.1 years,54.1 years,"$140,064",32.5%,62.2%,41.0%,48.2%,3.2%,75.2%,2.1%,9.9%,4.7%,0.0%,5.8%,62.2%,"$1,486"
"Crabtree Woods, Raleigh, NC",0.049,32,28.0 people,2.0,1.7,11,55.2 years,49.4 years,"$90,982",36.9%,42.8%,31.5%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,16.7%,64.1%,"$1,215"
"Creekside, Raleigh, NC",0.043,14,3.0 people,3.0,2.4,7,55.1 years,45.9 years,"$105,689",36.9%,58.2%,25.3%,62.7%,4.3%,71.6%,0.6%,9.9%,13.5%,0.0%,13.6%,68.3%,"$1,257"
"Crescent Ridge Townhomes, Raleigh, NC",0.049,40,1.7 people,1.6,1.6,20,29.0 years,28.1 years,"$60,271",36.6%,40.3%,39.3%,26.6%,21.5%,25.2%,1.6%,26.9%,28.5%,0.0%,14.1%,86.6%,$888
"Crestview, Raleigh, NC",0.022,87,2.6 people,2.0,1.8,45,46.2 years,39.1 years,"$70,461",46.3%,49.2%,35.5%,50.6%,2.7%,61.5%,1.8%,9.6%,14.3%,0.0%,3.6%,74.2%,"$1,186"
"Cross Link Trace, Raleigh, NC",0.023,9,2.2 people,4.1,1.7,5,52.4 years,41.7 years,"$49,125",22.5%,66.1%,45.3%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,73.2%,85.3%,$678
"Crown Crossing, Raleigh, NC",0.006999999999999999,2,2.2 people,4.1,1.7,1,52.4 years,41.7 years,"$49,125",22.5%,66.1%,65.7%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,106.1%,85.3%,$678
"Crown Oaks, Raleigh, NC",0.077,122,2.2 people,1.4,1.8,54,40.9 years,40.8 years,"$55,078",44.4%,45.0%,26.5%,32.6%,10.2%,29.9%,0.4%,22.9%,16.6%,0.9%,5.4%,78.1%,$861
"Curthay Place, Raleigh, NC",0.003,8,36.0 people,1.3,2.0,3,29.3 years,23.3 years,"$42,756",25.9%,60.2%,13.8%,62.7%,12.7%,30.0%,1.2%,31.3%,17.1%,0.0%,21.6%,84.5%,$767
"Cyman Commons, Raleigh, NC",0.016,6,2.2 people,4.1,1.7,3,52.4 years,41.7 years,"$49,125",22.5%,66.1%,47.2%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,76.3%,85.3%,$678
"Dacian Valley, Raleigh, NC",0.037000000000000005,66,3.6 people,1.0,1.6,35,42.2 years,27.7 years,"$29,928",24.2%,67.6%,15.0%,32.1%,7.6%,19.6%,0.5%,24.4%,25.2%,4.8%,13.1%,79.3%,$737
"Dairyland, Raleigh, NC",0.039,63,2.5 people,1.4,2.2,34,47.2 years,41.3 years,"$122,970",39.3%,53.1%,40.0%,53.4%,6.7%,59.5%,0.9%,13.2%,15.2%,1.7%,2.9%,58.8%,"$1,192"
"Dandridge Downs, Raleigh, NC",0.013,5,2.2 people,4.1,1.7,3,52.4 years,41.7 years,"$49,125",22.5%,66.1%,47.0%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,76.0%,85.3%,$678
"Darien Place, Raleigh, NC",0.005,6,2.4 people,1.3,2.5,3,29.3 years,32.6 years,"$46,923",39.7%,52.0%,43.3%,55.3%,7.1%,54.6%,1.1%,16.4%,18.9%,0.0%,1.1%,62.2%,$672
"Dartmoor, Raleigh, NC",0.016,25,2.2 people,1.4,1.8,11,40.9 years,40.8 years,"$55,078",44.4%,45.0%,26.8%,32.6%,10.2%,29.9%,0.4%,22.9%,16.6%,0.0%,5.5%,78.1%,$861
"Delta Ridge, Raleigh, NC",0.1,11,25.0 people,1.7,1.7,6,43.6 years,36.5 years,"$77,689",48.6%,38.8%,42.3%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.4%,96.9%,"$1,014"
"Depot Historic District, Raleigh, NC",0.024,103,1.5 people,0.9,1.4,69,36.3 years,35.5 years,"$51,386",51.8%,44.4%,18.4%,21.4%,3.2%,18.0%,0.7%,13.9%,47.5%,0.0%,22.0%,87.0%,$974
"Dillmark Townhomes, Raleigh, NC",0.006999999999999999,2,2.8 people,1.3,2.5,1,38.2 years,42.1 years,"$51,613",27.1%,64.5%,42.3%,57.8%,7.8%,49.2%,0.6%,14.7%,15.5%,0.0%,5.3%,88.4%,$704
"Dix Hill, Raleigh, NC",0.29600000000000004,556,2.1 people,1.2,1.8,307,28.0 years,28.2 years,"$28,851",39.3%,51.6%,20.3%,25.4%,8.7%,16.9%,0.3%,23.8%,29.3%,2.8%,8.9%,42.8%,$629
"Dixie Forest, Raleigh, NC",0.021,76,2.5 people,1.9,2.3,38,42.2 years,33.7 years,"$86,354",38.8%,53.2%,27.3%,28.2%,7.7%,27.4%,0.4%,16.6%,34.3%,0.0%,13.7%,58.0%,$897
"Drewry Hills, Raleigh, NC",0.26,320,2.6 people,1.6,2.2,152,45.6 years,48.1 years,"$120,112",30.1%,65.8%,36.4%,41.5%,3.4%,65.1%,0.6%,12.6%,13.3%,0.3%,5.4%,56.7%,"$1,486"
"Dutchman Creek, Raleigh, NC",0.08199999999999999,29,2.8 people,1.3,2.5,13,38.2 years,42.1 years,"$51,613",27.1%,64.5%,32.3%,57.8%,7.8%,49.2%,0.6%,14.7%,15.5%,0.0%,4.1%,88.4%,$704
"Dylan Court Townhomes, Raleigh, NC",0.004,22,2.4 people,1.7,1.7,7,24.0 years,33.5 years,"$45,978",38.7%,53.3%,8.0%,60.8%,7.7%,34.3%,0.3%,41.0%,17.5%,0.0%,34.3%,87.7%,$677
"Eagle Point, Raleigh, NC",0.018000000000000002,49,2.5 people,1.3,2.1,23,32.6 years,30.9 years,"$34,719",30.5%,43.2%,23.9%,60.2%,25.0%,40.0%,1.3%,17.8%,17.6%,6.8%,11.2%,84.7%,$693
"East Gateway, Raleigh, NC",0.451,"5,628",2.6 people,1.0,1.7,"1,819",38.1 years,38.7 years,"$26,496",27.6%,65.0%,10.0%,34.5%,6.8%,28.7%,0.6%,30.7%,17.0%,2.0%,8.5%,70.7%,$602
"East Raleigh, Raleigh, NC",2.345,"4,004",2.7 people,1.6,2.1,"2,237",35.2 years,31.8 years,"$50,314",33.2%,38.6%,19.7%,62.2%,28.0%,47.4%,0.7%,13.9%,22.1%,14.4%,32.4%,89.5%,$859
"Eastgate, Raleigh, NC",0.141,180,2.1 people,1.5,1.9,92,36.3 years,36.6 years,"$68,726",36.9%,46.7%,20.3%,45.0%,14.7%,35.4%,1.7%,15.2%,24.8%,1.7%,11.8%,74.7%,"$1,041"
"Eastwood, Raleigh, NC",0.023,40,3.6 people,1.0,1.6,21,42.2 years,27.7 years,"$29,928",24.2%,67.6%,15.1%,32.1%,7.6%,19.6%,0.5%,24.4%,25.2%,5.3%,13.2%,79.3%,$737
"Ebenezer Church Road Townhomes, Raleigh, NC",0.002,2,28.0 people,1.4,1.8,0,25.7 years,30.3 years,"$46,470",46.3%,42.9%,33.4%,34.8%,10.3%,31.2%,0.6%,26.7%,17.9%,0.0%,23.5%,65.3%,$823
"Ebenezer Park, Raleigh, NC",0.013,3,21.0 people,1.7,1.7,2,36.7 years,30.7 years,"$65,332",48.6%,38.8%,44.7%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.8%,96.9%,$853
"Echo Heights, Raleigh, NC",0.227,28,1.1 people,7.4,1.6,13,2.6 years,2.3 years,"$4,622",26.9%,57.8%,16.4%,61.1%,12.5%,53.0%,2.8%,23.0%,14.9%,8.0%,2.1%,62.2%,$81
"Eden Croft, Raleigh, NC",0.038,24,28.0 people,2.0,1.7,8,55.2 years,49.4 years,"$90,982",36.9%,42.8%,32.5%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,17.2%,64.1%,"$1,215"
"Eden Forest, Raleigh, NC",0.039,57,1.6 people,0.8,1.6,28,54.9 years,36.9 years,"$81,406",42.6%,43.0%,27.1%,32.9%,11.6%,31.2%,2.7%,9.2%,19.4%,0.0%,7.0%,57.4%,$751
"Edgemont, Raleigh, NC",0.003,11,32.3 people,2.0,1.7,3,63.6 years,56.9 years,"$104,876",36.9%,42.8%,31.8%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,16.9%,64.1%,"$1,401"
"Edgemont, Raleigh, NC",0.003,11,32.3 people,2.0,1.7,3,63.6 years,56.9 years,"$104,876",36.9%,42.8%,31.8%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,16.9%,64.1%,"$1,401"
"Edgewater Townhomes, Raleigh, NC",0.031,8,2.6 people,1.8,2.1,4,35.5 years,34.5 years,"$47,620",26.5%,52.6%,16.9%,57.6%,18.1%,38.9%,2.9%,21.5%,19.9%,12.5%,20.4%,78.3%,$797
"Edgewater at Rogers Farm, Raleigh, NC",0.138,85,2.3 people,1.7,1.8,40,40.8 years,36.0 years,"$53,929",42.0%,45.8%,24.8%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,18.9%,86.6%,$895
"Edmund St, Raleigh, NC",0.037000000000000005,104,2.2 people,1.4,1.6,49,33.9 years,35.8 years,"$45,493",37.6%,55.3%,19.5%,50.7%,5.9%,30.0%,1.2%,13.4%,17.6%,2.1%,18.2%,79.9%,$703
"Edward Mill, Raleigh, NC",0.016,10,28.0 people,2.0,1.7,3,55.2 years,49.4 years,"$90,982",36.9%,42.8%,33.4%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,17.7%,64.1%,"$1,215"
"Edwards Mill, Raleigh, NC",0.003,7,2.3 people,1.5,2.2,3,39.0 years,41.1 years,"$123,293",46.3%,42.9%,37.7%,47.5%,10.3%,54.1%,0.6%,14.4%,15.5%,0.0%,3.3%,66.9%,"$1,207"
"Egerton, Raleigh, NC",0.004,11,2.6 people,1.6,2.1,5,44.8 years,48.3 years,"$120,583",52.6%,40.0%,39.3%,62.3%,6.6%,77.1%,0.7%,7.1%,6.0%,0.0%,0.8%,78.7%,$853
"Ellington Place, Raleigh, NC",0.001,11,1.6 people,1.1,1.3,6,28.5 years,31.1 years,"$42,273",48.7%,46.9%,34.5%,20.6%,4.0%,15.9%,0.4%,27.4%,36.1%,0.0%,19.3%,88.2%,$837
"Enclave at Bentley Ridge, Raleigh, NC",0.003,1,28.0 people,2.0,1.7,0,55.2 years,49.4 years,"$90,982",36.9%,42.8%,55.6%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,29.5%,64.1%,"$1,215"
"Enclave at Inman Park, Raleigh, NC",0.04,93,2.7 people,2.5,2.2,48,43.1 years,37.8 years,"$113,750",36.9%,54.2%,32.5%,53.0%,6.7%,68.8%,2.3%,9.7%,11.5%,0.0%,4.2%,69.2%,$982
"Evans Mill, Raleigh, NC",0.035,44,2.4 people,1.2,2.2,18,40.1 years,45.4 years,"$78,250",54.3%,40.8%,22.1%,62.3%,1.8%,52.7%,3.3%,19.8%,6.4%,0.0%,11.2%,81.6%,$846
"Fairfax, Raleigh, NC",0.165,670,2.2 people,1.4,1.9,270,37.9 years,42.5 years,"$60,913",42.6%,43.0%,30.3%,47.5%,11.6%,44.0%,2.7%,19.7%,15.9%,0.3%,13.0%,72.0%,$976
"Fairfield, Raleigh, NC",0.008,15,1.9 people,1.5,1.6,8,40.6 years,31.7 years,"$69,375",38.1%,56.9%,23.3%,36.2%,3.8%,25.7%,1.2%,19.5%,32.6%,0.0%,31.2%,70.9%,$757
"Fairground Park, Raleigh, NC",0.047,214,2.3 people,1.4,1.9,83,21.8 years,45.4 years,"$28,214",41.4%,51.1%,22.7%,32.5%,6.8%,27.8%,0.7%,37.9%,12.3%,0.0%,20.5%,64.5%,"$1,309"
"Fairmont, Raleigh, NC",0.086,398,2.3 people,1.4,1.9,155,21.8 years,45.4 years,"$28,214",43.9%,49.0%,22.7%,32.5%,6.0%,27.8%,1.1%,37.9%,12.3%,0.8%,20.5%,64.5%,"$1,309"
"Fairview Park, Raleigh, NC",0.015,80,2.5 people,1.7,2.0,39,38.0 years,40.3 years,"$103,438",38.1%,56.9%,39.8%,61.5%,3.8%,69.1%,1.2%,10.6%,10.9%,0.0%,3.5%,89.1%,$798
"Fairway North, Raleigh, NC",0.03,44,2.5 people,1.8,2.2,23,37.5 years,32.9 years,"$74,803",34.4%,38.8%,40.0%,63.2%,26.8%,60.8%,0.0%,8.8%,17.3%,15.4%,19.9%,90.6%,$928
"Fairway Ridge, Raleigh, NC",0.017,28,2.8 people,1.8,2.0,15,32.1 years,28.8 years,"$72,538",37.0%,39.4%,23.6%,47.3%,21.8%,52.3%,1.8%,14.1%,23.6%,3.7%,8.9%,75.5%,$777
"Falcon Ridge, Raleigh, NC",0.032,53,2.8 people,1.8,2.0,28,32.1 years,28.8 years,"$72,538",37.0%,39.4%,23.2%,47.3%,21.8%,52.3%,1.8%,14.1%,23.6%,0.0%,8.8%,75.5%,$777
"Fallon Oaks, Raleigh, NC",0.004,21,2.5 people,1.7,2.0,10,38.0 years,40.3 years,"$103,438",38.1%,56.9%,39.9%,61.5%,3.8%,69.1%,1.2%,10.6%,10.9%,0.0%,3.5%,89.1%,$798
"Falls Church, Raleigh, NC",0.078,132,1.9 people,0.4,1.7,57,62.8 years,45.3 years,"$51,481",38.7%,47.6%,39.4%,19.4%,12.7%,35.7%,1.0%,7.5%,14.3%,5.5%,7.1%,80.0%,"$2,295"
"Falls Village Townhomes, Raleigh, NC",0.006999999999999999,20,2.5 people,1.3,2.1,9,32.6 years,30.9 years,"$34,719",30.5%,43.2%,23.7%,60.2%,25.0%,40.0%,1.3%,17.8%,17.6%,0.0%,11.1%,84.7%,$693
"Farmington Woods, Raleigh, NC",0.126,45,2.8 people,1.3,2.5,20,38.2 years,42.1 years,"$51,613",27.1%,64.5%,32.3%,57.8%,7.8%,49.2%,0.6%,14.7%,15.5%,0.0%,4.1%,88.4%,$704
"Farrington Grove Townhomes, Raleigh, NC",0.025,15,2.3 people,1.7,1.8,7,40.8 years,36.0 years,"$53,929",42.0%,45.8%,25.5%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,19.5%,86.6%,$895
"Farrior Hills, Raleigh, NC",0.159,240,1.9 people,1.4,1.8,115,42.1 years,43.6 years,"$98,654",46.3%,49.2%,34.0%,39.1%,2.7%,41.1%,1.8%,12.2%,14.5%,0.0%,10.5%,68.9%,"$1,613"
"Fayetteville Street, Raleigh, NC",0.016,67,1.5 people,0.9,1.4,44,36.3 years,35.5 years,"$51,386",51.8%,44.4%,18.2%,21.4%,3.2%,18.0%,0.7%,13.9%,47.5%,0.0%,21.9%,87.0%,$974
"Fellers Pond, Raleigh, NC",0.014,5,2.2 people,4.1,1.7,3,52.4 years,41.7 years,"$49,125",22.5%,66.1%,48.4%,32.8%,10.7%,38.4%,0.8%,13.2%,25.1%,0.0%,78.2%,85.3%,$678
"Fieldstream Farm, Raleigh, NC",0.068,183,2.6 people,1.6,2.1,82,44.8 years,48.3 years,"$120,583",52.6%,40.0%,37.6%,62.3%,6.6%,77.1%,0.7%,7.1%,6.0%,0.0%,0.8%,78.7%,$853
"Five Points Village, Raleigh, NC",0.003,6,1.9 people,1.5,1.6,3,40.6 years,31.7 years,"$69,375",38.1%,56.9%,23.3%,36.2%,3.8%,25.7%,1.2%,19.5%,32.6%,0.0%,31.2%,70.9%,$757
"Flythe Hills, Raleigh, NC",0.014,39,2.8 people,7.3,2.1,21,37.7 years,41.5 years,"$200,750",36.5%,59.7%,35.7%,50.4%,3.0%,71.8%,0.8%,10.5%,20.5%,0.0%,1.2%,77.9%,$862
"Forest Acres, Raleigh, NC",0.052000000000000005,195,1.9 people,1.4,1.5,91,47.3 years,38.1 years,"$57,803",38.1%,56.9%,18.1%,39.6%,3.8%,32.8%,1.2%,14.7%,9.9%,0.0%,15.4%,75.6%,$908
"Forest Hills, Raleigh, NC",0.181,792,2.2 people,1.5,1.8,330,29.9 years,38.2 years,"$51,732",38.7%,53.3%,20.1%,41.1%,7.7%,31.7%,0.3%,35.0%,16.2%,0.0%,24.0%,69.2%,"$1,067"
"Forest Ridge, Raleigh, NC",0.005,12,2.5 people,1.0,2.1,5,40.9 years,44.1 years,"$68,036",30.7%,45.0%,27.7%,50.1%,22.7%,55.5%,1.6%,15.3%,19.2%,0.0%,3.3%,56.1%,$698
"Fox Hill, Raleigh, NC",0.023,14,2.3 people,1.7,1.8,6,40.8 years,36.0 years,"$53,929",42.0%,45.8%,25.2%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,0.0%,19.2%,86.6%,$895
"Fox Hollow, Raleigh, NC",0.039,114,36.0 people,1.3,2.0,48,29.3 years,23.3 years,"$42,756",25.9%,60.2%,12.4%,62.7%,12.7%,30.0%,1.2%,31.3%,17.1%,4.0%,19.3%,84.5%,$767
"Foxcroft, Raleigh, NC",0.762,469,2.3 people,1.7,1.8,223,40.8 years,36.0 years,"$53,929",42.0%,45.8%,24.7%,37.7%,10.9%,34.1%,1.3%,24.9%,22.6%,3.2%,18.8%,86.6%,$895
"Foxfire, Raleigh, NC",0.05,143,36.0 people,1.3,2.0,61,29.3 years,23.3 years,"$42,756",25.9%,60.2%,12.4%,62.7%,12.7%,30.0%,1.2%,31.3%,17.1%,4.0%,19.3%,84.5%,$767
"Gadland Court Townhomes, Raleigh, NC",0.002,1,32.5%,47.1%,259.8,1.7 people,38.3%,40.2%,"$50,573",2.0,2.8%,20.3%,62.7%,81.5%,14.2%,1.2,58.9%,36.7%,1.6%,0.0%,5.9%,$762
"Gardner Place, Raleigh, NC",0.01,55,2.2 people,1.7,1.7,19,35.3 years,33.4 years,"$67,334",38.7%,53.3%,9.3%,59.2%,7.7%,34.5%,0.3%,39.7%,18.0%,0.0%,32.9%,84.8%,$677
"Garner Place, Raleigh, NC",0.002,,13.2%,2.7%,9.7%,32.8%,25.1%,38.4%,$678,6.9%,259.8,0.8%,66.1%,4.0%,22.5%,1.2%,4.1,1.7,85.3%,10.7%,1.2%,2.2 people
"Gatewood, Raleigh, NC",0.047,129,2.2 people,1.5,1.7,59,35.0 years,36.4 years,"$46,772",25.3%,67.5%,25.7%,37.4%,6.7%,30.4%,0.5%,27.7%,16.9%,2.6%,17.8%,61.2%,$788
"Georgetown, Raleigh, NC",0.125,244,1.9 people,1.5,1.6,130,40.6 years,31.7 years,"$69,375",38.1%,56.9%,23.1%,36.2%,3.8%,25.7%,1.2%,19.5%,32.6%,1.2%,30.9%,70.9%,$757
"Glascock Street, Raleigh, NC",0.031,65,2.6 people,1.4,1.7,31,40.4 years,42.7 years,"$54,284",37.6%,55.3%,19.1%,50.8%,5.9%,30.8%,1.2%,11.1%,17.9%,2.0%,15.9%,80.1%,$857
"Glen Eden, Raleigh, NC",0.118,14,0.6 people,1.3,2.1,7,3.4 years,3.0 years,"$7,130",38.2%,56.0%,41.9%,43.2%,5.6%,60.9%,0.3%,10.2%,11.3%,0.0%,2.2%,58.3%,$110
"Glen Forest, Raleigh, NC",0.141,395,2.3 people,1.5,2.2,185,39.0 years,41.1 years,"$123,293",46.3%,42.9%,34.9%,47.5%,10.3%,54.1%,0.6%,14.4%,15.5%,0.0%,3.1%,66.9%,"$1,207"
"Glen Lake, Raleigh, NC",0.07200000000000001,46,28.0 people,2.0,1.7,16,55.2 years,49.4 years,"$90,982",36.9%,42.8%,32.0%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,2.2%,17.0%,64.1%,"$1,215"
"Glenanneve Place, Raleigh, NC",0.004,12,1.9 people,1.8,2.0,6,39.1 years,35.0 years,"$77,179",36.5%,59.7%,26.3%,40.5%,3.0%,31.8%,0.8%,20.8%,23.1%,0.0%,15.4%,64.5%,$831
"Glenlake Gardens, Raleigh, NC",0.016,10,28.0 people,2.0,1.7,3,55.2 years,49.4 years,"$90,982",36.9%,42.8%,33.4%,31.9%,18.9%,39.2%,1.4%,30.6%,14.0%,0.0%,17.7%,64.1%,"$1,215"
"Glenoe on Ferry, Raleigh, NC",0.026,43,2.8 people,1.8,2.0,22,32.1 years,28.8 years,"$72,538",37.0%,39.4%,23.1%,47.3%,21.8%,52.3%,1.8%,14.1%,23.6%,2.4%,8.7%,75.5%,$777
"Glenwood Forest, Raleigh, NC",0.116,28,21.0 people,1.7,1.7,17,36.7 years,30.7 years,"$65,332",48.6%,38.8%,42.1%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.4%,96.9%,$853
"Glenwood, Raleigh, NC",0.095,506,1.5 people,1.2,1.5,276,33.8 years,39.8 years,"$50,824",48.3%,45.4%,41.2%,23.4%,5.9%,20.1%,0.4%,23.2%,26.5%,0.0%,2.8%,85.9%,$855
"Glenwood South, Raleigh, NC",0.225,"1,757",1.6 people,0.9,1.4,"1,090",35.0 years,35.9 years,"$45,869",49.2%,45.3%,72.0%,9.4%,4.9%,10.0%,0.5%,16.3%,26.5%,0.5%,31.0%,90.2%,$699
"Glenwood Station, Raleigh, NC",0.031,7,21.0 people,1.7,1.7,4,36.7 years,30.7 years,"$65,332",48.6%,38.8%,44.5%,37.7%,11.4%,30.3%,1.1%,12.6%,39.9%,0.0%,7.8%,96.9%,$853
"Gloucester Townhomes, Raleigh, NC",0.012,26,2.1 people,1.2,2.2,13,59.9 years,57.1 years,"$99,318",54.2%,39.7%,48.1%,34.8%,5.2%,72.5%,0.9%,3.2%,5.5%,0.0%,14.6%,73.4%,$872
